PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudIntersectBear,ForwardCloudIntersectBull,Close,ForwardCloudWidth,PriceBaseLineDistance,PriceConvLineDistance
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36944161047104784,0.5457176839865449,0.3608951387945716,0.4415512924673768
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3790809216910941,0.5483219846319732,0.38343867860463665,0.47869542869459897
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37957237415084477,0.5589749151424274,0.37332971154549366,0.4677057253237384
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38012603578271575,0.5610759411415149,0.37481743055047706,0.4659249556465649
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3918571304153084,0.5660517723065395,0.40633952171505594,0.5025020311385979
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39858038669221385,0.5691177590968125,0.42440527805927897,0.5311734177844833
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.40878424614925224,0.5732178117098521,0.45182360500224633,0.5746878678847969
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39834710229676257,0.5737604340979106,0.42377843016392075,0.5409129346222077
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4011698434817229,0.5767546269448676,0.4313632896977549,0.5564888660443362
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39565655560255797,0.581344061493619,0.4165487844374563,0.5378455008207452
